[2026-05-14T12:03:51.929+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: supply_chain_pipeline.kafka_producer manual__2026-05-14T12:03:50.868509+00:00 [queued]>
[2026-05-14T12:03:51.939+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: supply_chain_pipeline.kafka_producer manual__2026-05-14T12:03:50.868509+00:00 [queued]>
[2026-05-14T12:03:51.939+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 3
[2026-05-14T12:03:51.949+0000] {taskinstance.py:2191} INFO - Executing <Task(BashOperator): kafka_producer> on 2026-05-14 12:03:50.868509+00:00
[2026-05-14T12:03:51.954+0000] {standard_task_runner.py:60} INFO - Started process 185 to run task
[2026-05-14T12:03:51.957+0000] {standard_task_runner.py:87} INFO - Running: ['airflow', 'tasks', 'run', 'supply_chain_pipeline', 'kafka_producer', 'manual__2026-05-14T12:03:50.868509+00:00', '--job-id', '28', '--raw', '--subdir', 'DAGS_FOLDER/supply_chain_pipeline.py', '--cfg-path', '/tmp/tmpnt70gv_t']
[2026-05-14T12:03:51.959+0000] {standard_task_runner.py:88} INFO - Job 28: Subtask kafka_producer
[2026-05-14T12:03:51.998+0000] {task_command.py:423} INFO - Running <TaskInstance: supply_chain_pipeline.kafka_producer manual__2026-05-14T12:03:50.868509+00:00 [running]> on host 25ee09023a37
[2026-05-14T12:03:52.065+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='lovepreet' AIRFLOW_CTX_DAG_ID='supply_chain_pipeline' AIRFLOW_CTX_TASK_ID='kafka_producer' AIRFLOW_CTX_EXECUTION_DATE='2026-05-14T12:03:50.868509+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-05-14T12:03:50.868509+00:00'
[2026-05-14T12:03:52.067+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2026-05-14T12:03:52.068+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'python3 /opt/airflow/ingestion/kafka_producer.py']
[2026-05-14T12:03:52.080+0000] {subprocess.py:86} INFO - Output:
[2026-05-14T12:05:33.285+0000] {subprocess.py:93} INFO - Starting shipment event producer...
[2026-05-14T12:05:33.289+0000] {subprocess.py:93} INFO - Sending to topic: shipment-events
[2026-05-14T12:05:33.290+0000] {subprocess.py:93} INFO - Broker: kafka:9092
[2026-05-14T12:05:33.290+0000] {subprocess.py:93} INFO - 
[2026-05-14T12:05:33.290+0000] {subprocess.py:93} INFO - [1/100] Sent: Order 5197 | Phone | SHIPPED | Blue Dart → Pune
[2026-05-14T12:05:33.291+0000] {subprocess.py:93} INFO - [2/100] Sent: Order 1120 | Keyboard | PROCESSING | Blue Dart → Lucknow
[2026-05-14T12:05:33.291+0000] {subprocess.py:93} INFO - [3/100] Sent: Order 8747 | Keyboard | IN_TRANSIT | Delhivery → Pune
[2026-05-14T12:05:33.291+0000] {subprocess.py:93} INFO - [4/100] Sent: Order 4393 | Laptop | IN_TRANSIT | DTDC → Lucknow
[2026-05-14T12:05:33.291+0000] {subprocess.py:93} INFO - [5/100] Sent: Order 2389 | Headphones | DELAYED | Delhivery → Ahmedabad
[2026-05-14T12:05:33.292+0000] {subprocess.py:93} INFO - [6/100] Sent: Order 6240 | Keyboard | SHIPPED | Delhivery → Ahmedabad
[2026-05-14T12:05:33.292+0000] {subprocess.py:93} INFO - [7/100] Sent: Order 8027 | Monitor | ORDER_PLACED | DHL → Kolkata
[2026-05-14T12:05:33.292+0000] {subprocess.py:93} INFO - [8/100] Sent: Order 4439 | Headphones | ORDER_PLACED | FedEx → Lucknow
[2026-05-14T12:05:33.293+0000] {subprocess.py:93} INFO - [9/100] Sent: Order 8776 | Tablet | DELAYED | DHL → Kolkata
[2026-05-14T12:05:33.293+0000] {subprocess.py:93} INFO - [10/100] Sent: Order 2999 | Phone | OUT_FOR_DELIVERY | Delhivery → Lucknow
[2026-05-14T12:05:33.293+0000] {subprocess.py:93} INFO - [11/100] Sent: Order 7423 | Headphones | SHIPPED | FedEx → Pune
[2026-05-14T12:05:33.294+0000] {subprocess.py:93} INFO - [12/100] Sent: Order 3676 | Headphones | SHIPPED | DTDC → Pune
[2026-05-14T12:05:33.294+0000] {subprocess.py:93} INFO - [13/100] Sent: Order 7307 | Monitor | DELAYED | DTDC → Pune
[2026-05-14T12:05:33.294+0000] {subprocess.py:93} INFO - [14/100] Sent: Order 3451 | Keyboard | DELAYED | Delhivery → Kolkata
[2026-05-14T12:05:33.295+0000] {subprocess.py:93} INFO - [15/100] Sent: Order 2756 | Headphones | SHIPPED | Blue Dart → Jaipur
[2026-05-14T12:05:33.295+0000] {subprocess.py:93} INFO - [16/100] Sent: Order 8265 | Monitor | ORDER_PLACED | Delhivery → Lucknow
[2026-05-14T12:05:33.295+0000] {subprocess.py:93} INFO - [17/100] Sent: Order 8615 | Keyboard | DELAYED | DTDC → Jaipur
[2026-05-14T12:05:33.296+0000] {subprocess.py:93} INFO - [18/100] Sent: Order 1917 | Tablet | DELAYED | FedEx → Kolkata
[2026-05-14T12:05:33.296+0000] {subprocess.py:93} INFO - [19/100] Sent: Order 6978 | Tablet | OUT_FOR_DELIVERY | DTDC → Kolkata
[2026-05-14T12:05:33.296+0000] {subprocess.py:93} INFO - [20/100] Sent: Order 3053 | Camera | DELAYED | FedEx → Ahmedabad
[2026-05-14T12:05:33.297+0000] {subprocess.py:93} INFO - [21/100] Sent: Order 1626 | Monitor | SHIPPED | Delhivery → Kolkata
[2026-05-14T12:05:33.297+0000] {subprocess.py:93} INFO - [22/100] Sent: Order 2838 | Headphones | ORDER_PLACED | Delhivery → Lucknow
[2026-05-14T12:05:33.297+0000] {subprocess.py:93} INFO - [23/100] Sent: Order 9553 | Monitor | SHIPPED | Blue Dart → Ahmedabad
[2026-05-14T12:05:33.298+0000] {subprocess.py:93} INFO - [24/100] Sent: Order 2801 | Camera | OUT_FOR_DELIVERY | DTDC → Lucknow
[2026-05-14T12:05:33.298+0000] {subprocess.py:93} INFO - [25/100] Sent: Order 5934 | Monitor | PROCESSING | Blue Dart → Pune
[2026-05-14T12:05:33.298+0000] {subprocess.py:93} INFO - [26/100] Sent: Order 9191 | Phone | DELAYED | DHL → Kolkata
