[2026-05-14T12:10:45.390+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: supply_chain_pipeline.kafka_consumer manual__2026-05-14T12:09:02.776316+00:00 [queued]>
[2026-05-14T12:10:45.398+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: supply_chain_pipeline.kafka_consumer manual__2026-05-14T12:09:02.776316+00:00 [queued]>
[2026-05-14T12:10:45.398+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 3
[2026-05-14T12:10:45.409+0000] {taskinstance.py:2191} INFO - Executing <Task(BashOperator): kafka_consumer> on 2026-05-14 12:09:02.776316+00:00
[2026-05-14T12:10:45.415+0000] {standard_task_runner.py:60} INFO - Started process 278 to run task
[2026-05-14T12:10:45.420+0000] {standard_task_runner.py:87} INFO - Running: ['airflow', 'tasks', 'run', 'supply_chain_pipeline', 'kafka_consumer', 'manual__2026-05-14T12:09:02.776316+00:00', '--job-id', '33', '--raw', '--subdir', 'DAGS_FOLDER/supply_chain_pipeline.py', '--cfg-path', '/tmp/tmp_oxuq58s']
[2026-05-14T12:10:45.422+0000] {standard_task_runner.py:88} INFO - Job 33: Subtask kafka_consumer
[2026-05-14T12:10:45.468+0000] {task_command.py:423} INFO - Running <TaskInstance: supply_chain_pipeline.kafka_consumer manual__2026-05-14T12:09:02.776316+00:00 [running]> on host 25ee09023a37
[2026-05-14T12:10:45.535+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='lovepreet' AIRFLOW_CTX_DAG_ID='supply_chain_pipeline' AIRFLOW_CTX_TASK_ID='kafka_consumer' AIRFLOW_CTX_EXECUTION_DATE='2026-05-14T12:09:02.776316+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-05-14T12:09:02.776316+00:00'
[2026-05-14T12:10:45.536+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2026-05-14T12:10:45.537+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'python3 /opt/airflow/ingestion/kafka_consumer.py']
[2026-05-14T12:10:45.544+0000] {subprocess.py:86} INFO - Output:
[2026-05-14T12:10:49.218+0000] {subprocess.py:93} INFO - Starting consumer...
[2026-05-14T12:10:49.219+0000] {subprocess.py:93} INFO - Topic: shipment-events
[2026-05-14T12:10:49.219+0000] {subprocess.py:93} INFO - Writing to: MinIO Bronze bucket
[2026-05-14T12:10:49.220+0000] {subprocess.py:93} INFO - 
[2026-05-14T12:10:49.220+0000] {subprocess.py:93} INFO - Consumed: Order 8061 | Tablet | PROCESSING
[2026-05-14T12:10:49.220+0000] {subprocess.py:93} INFO - Consumed: Order 5197 | Phone | SHIPPED
[2026-05-14T12:10:49.220+0000] {subprocess.py:93} INFO - Consumed: Order 4648 | Laptop | DELIVERED
[2026-05-14T12:10:49.220+0000] {subprocess.py:93} INFO - Consumed: Order 1120 | Keyboard | PROCESSING
[2026-05-14T12:10:49.221+0000] {subprocess.py:93} INFO - Consumed: Order 3123 | Laptop | DELIVERED
[2026-05-14T12:10:49.221+0000] {subprocess.py:93} INFO - Consumed: Order 8747 | Keyboard | IN_TRANSIT
[2026-05-14T12:10:49.221+0000] {subprocess.py:93} INFO - Consumed: Order 7324 | Tablet | SHIPPED
[2026-05-14T12:10:49.221+0000] {subprocess.py:93} INFO - Consumed: Order 4393 | Laptop | IN_TRANSIT
[2026-05-14T12:10:49.222+0000] {subprocess.py:93} INFO - Consumed: Order 7059 | Camera | PROCESSING
[2026-05-14T12:10:49.222+0000] {subprocess.py:93} INFO - Consumed: Order 2389 | Headphones | DELAYED
[2026-05-14T12:10:49.222+0000] {subprocess.py:93} INFO - ✅ Written batch 1 → bronze/shipments/2026/05/14/batch_1_121049.json (10 events)
[2026-05-14T12:10:49.222+0000] {subprocess.py:93} INFO - Consumed: Order 5293 | Monitor | OUT_FOR_DELIVERY
[2026-05-14T12:10:49.223+0000] {subprocess.py:93} INFO - Consumed: Order 6240 | Keyboard | SHIPPED
[2026-05-14T12:10:49.223+0000] {subprocess.py:93} INFO - Consumed: Order 1423 | Phone | DELIVERED
[2026-05-14T12:10:49.223+0000] {subprocess.py:93} INFO - Consumed: Order 8027 | Monitor | ORDER_PLACED
[2026-05-14T12:10:49.223+0000] {subprocess.py:93} INFO - Consumed: Order 6031 | Headphones | IN_TRANSIT
[2026-05-14T12:10:49.223+0000] {subprocess.py:93} INFO - Consumed: Order 4439 | Headphones | ORDER_PLACED
[2026-05-14T12:10:49.223+0000] {subprocess.py:93} INFO - Consumed: Order 5266 | Laptop | DELIVERED
[2026-05-14T12:10:49.224+0000] {subprocess.py:93} INFO - Consumed: Order 8776 | Tablet | DELAYED
[2026-05-14T12:10:49.224+0000] {subprocess.py:93} INFO - Consumed: Order 7616 | Camera | PROCESSING
[2026-05-14T12:10:49.224+0000] {subprocess.py:93} INFO - Consumed: Order 2999 | Phone | OUT_FOR_DELIVERY
[2026-05-14T12:10:49.224+0000] {subprocess.py:93} INFO - ✅ Written batch 2 → bronze/shipments/2026/05/14/batch_2_121049.json (10 events)
[2026-05-14T12:10:49.225+0000] {subprocess.py:93} INFO - Consumed: Order 2267 | Phone | SHIPPED
[2026-05-14T12:10:49.225+0000] {subprocess.py:93} INFO - Consumed: Order 7423 | Headphones | SHIPPED
[2026-05-14T12:10:49.225+0000] {subprocess.py:93} INFO - Consumed: Order 3907 | Laptop | IN_TRANSIT
[2026-05-14T12:10:49.225+0000] {subprocess.py:93} INFO - Consumed: Order 3676 | Headphones | SHIPPED
[2026-05-14T12:10:49.225+0000] {subprocess.py:93} INFO - Consumed: Order 7220 | Laptop | DELIVERED
[2026-05-14T12:10:49.225+0000] {subprocess.py:93} INFO - Consumed: Order 7307 | Monitor | DELAYED
[2026-05-14T12:10:49.225+0000] {subprocess.py:93} INFO - Consumed: Order 2232 | Camera | SHIPPED
[2026-05-14T12:10:49.226+0000] {subprocess.py:93} INFO - Consumed: Order 3451 | Keyboard | DELAYED
[2026-05-14T12:10:49.226+0000] {subprocess.py:93} INFO - Consumed: Order 9013 | Keyboard | IN_TRANSIT
[2026-05-14T12:10:49.226+0000] {subprocess.py:93} INFO - Consumed: Order 2756 | Headphones | SHIPPED
[2026-05-14T12:10:49.226+0000] {subprocess.py:93} INFO - ✅ Written batch 3 → bronze/shipments/2026/05/14/batch_3_121049.json (10 events)
[2026-05-14T12:10:49.226+0000] {subprocess.py:93} INFO - Consumed: Order 7199 | Laptop | PROCESSING
[2026-05-14T12:10:49.227+0000] {subprocess.py:93} INFO - Consumed: Order 8265 | Monitor | ORDER_PLACED
[2026-05-14T12:10:49.227+0000] {subprocess.py:93} INFO - Consumed: Order 3218 | Keyboard | PROCESSING
[2026-05-14T12:10:49.227+0000] {subprocess.py:93} INFO - Consumed: Order 8615 | Keyboard | DELAYED
[2026-05-14T12:10:49.227+0000] {subprocess.py:93} INFO - Consumed: Order 3799 | Monitor | DELAYED
[2026-05-14T12:10:49.227+0000] {subprocess.py:93} INFO - Consumed: Order 1917 | Tablet | DELAYED
[2026-05-14T12:10:49.227+0000] {subprocess.py:93} INFO - Consumed: Order 7441 | Keyboard | PROCESSING
[2026-05-14T12:10:49.228+0000] {subprocess.py:93} INFO - Consumed: Order 6978 | Tablet | OUT_FOR_DELIVERY
[2026-05-14T12:10:49.228+0000] {subprocess.py:93} INFO - Consumed: Order 2981 | Tablet | DELIVERED
[2026-05-14T12:10:49.228+0000] {subprocess.py:93} INFO - Consumed: Order 3053 | Camera | DELAYED
[2026-05-14T12:10:49.228+0000] {subprocess.py:93} INFO - ✅ Written batch 4 → bronze/shipments/2026/05/14/batch_4_121049.json (10 events)
[2026-05-14T12:10:49.228+0000] {subprocess.py:93} INFO - Consumed: Order 8643 | Headphones | DELAYED
[2026-05-14T12:10:49.228+0000] {subprocess.py:93} INFO - Consumed: Order 1626 | Monitor | SHIPPED
[2026-05-14T12:10:49.228+0000] {subprocess.py:93} INFO - Consumed: Order 1954 | Monitor | SHIPPED
[2026-05-14T12:10:49.228+0000] {subprocess.py:93} INFO - Consumed: Order 2838 | Headphones | ORDER_PLACED
[2026-05-14T12:10:49.229+0000] {subprocess.py:93} INFO - Consumed: Order 7826 | Monitor | PROCESSING
[2026-05-14T12:10:49.229+0000] {subprocess.py:93} INFO - Consumed: Order 9553 | Monitor | SHIPPED
[2026-05-14T12:10:49.229+0000] {subprocess.py:93} INFO - Consumed: Order 1516 | Tablet | SHIPPED
[2026-05-14T12:10:49.229+0000] {subprocess.py:93} INFO - Consumed: Order 2801 | Camera | OUT_FOR_DELIVERY
[2026-05-14T12:10:49.229+0000] {subprocess.py:93} INFO - Consumed: Order 4427 | Phone | PROCESSING
[2026-05-14T12:10:49.229+0000] {subprocess.py:93} INFO - Consumed: Order 5934 | Monitor | PROCESSING
[2026-05-14T12:10:49.230+0000] {subprocess.py:93} INFO - ✅ Written batch 5 → bronze/shipments/2026/05/14/batch_5_121049.json (10 events)
[2026-05-14T12:10:49.230+0000] {subprocess.py:93} INFO - Consumed: Order 1464 | Headphones | PROCESSING
[2026-05-14T12:10:49.230+0000] {subprocess.py:93} INFO - Consumed: Order 9191 | Phone | DELAYED
[2026-05-14T12:10:49.230+0000] {subprocess.py:93} INFO - Consumed: Order 7041 | Headphones | DELAYED
[2026-05-14T12:10:49.230+0000] {subprocess.py:93} INFO - Consumed: Order 4672 | Keyboard | PROCESSING
[2026-05-14T12:10:49.230+0000] {subprocess.py:93} INFO - Consumed: Order 8024 | Headphones | IN_TRANSIT
[2026-05-14T12:10:49.230+0000] {subprocess.py:93} INFO - Consumed: Order 2871 | Monitor | OUT_FOR_DELIVERY
[2026-05-14T12:10:49.231+0000] {subprocess.py:93} INFO - Consumed: Order 3827 | Headphones | IN_TRANSIT
[2026-05-14T12:10:49.231+0000] {subprocess.py:93} INFO - Consumed: Order 1987 | Camera | PROCESSING
[2026-05-14T12:10:49.231+0000] {subprocess.py:93} INFO - Consumed: Order 4072 | Phone | SHIPPED
[2026-05-14T12:10:49.231+0000] {subprocess.py:93} INFO - Consumed: Order 6033 | Monitor | SHIPPED
[2026-05-14T12:10:49.231+0000] {subprocess.py:93} INFO - ✅ Written batch 6 → bronze/shipments/2026/05/14/batch_6_121049.json (10 events)
[2026-05-14T12:10:49.231+0000] {subprocess.py:93} INFO - Consumed: Order 5993 | Keyboard | OUT_FOR_DELIVERY
[2026-05-14T12:10:49.231+0000] {subprocess.py:93} INFO - Consumed: Order 3534 | Tablet | DELAYED
[2026-05-14T12:10:49.231+0000] {subprocess.py:93} INFO - Consumed: Order 7468 | Tablet | DELAYED
[2026-05-14T12:10:49.231+0000] {subprocess.py:93} INFO - Consumed: Order 3775 | Laptop | SHIPPED
[2026-05-14T12:10:49.232+0000] {subprocess.py:93} INFO - Consumed: Order 5997 | Keyboard | IN_TRANSIT
[2026-05-14T12:10:49.232+0000] {subprocess.py:93} INFO - Consumed: Order 7105 | Laptop | SHIPPED
[2026-05-14T12:10:49.232+0000] {subprocess.py:93} INFO - Consumed: Order 9807 | Monitor | IN_TRANSIT
[2026-05-14T12:10:49.232+0000] {subprocess.py:93} INFO - Consumed: Order 3885 | Laptop | SHIPPED
[2026-05-14T12:10:49.233+0000] {subprocess.py:93} INFO - Consumed: Order 9365 | Tablet | ORDER_PLACED
[2026-05-14T12:10:49.233+0000] {subprocess.py:93} INFO - Consumed: Order 2615 | Laptop | DELIVERED
[2026-05-14T12:10:49.233+0000] {subprocess.py:93} INFO - ✅ Written batch 7 → bronze/shipments/2026/05/14/batch_7_121049.json (10 events)
[2026-05-14T12:10:49.233+0000] {subprocess.py:93} INFO - Consumed: Order 4955 | Tablet | PROCESSING
[2026-05-14T12:10:49.233+0000] {subprocess.py:93} INFO - Consumed: Order 7138 | Camera | IN_TRANSIT
[2026-05-14T12:10:49.233+0000] {subprocess.py:93} INFO - Consumed: Order 5013 | Keyboard | PROCESSING
[2026-05-14T12:10:49.233+0000] {subprocess.py:93} INFO - Consumed: Order 8843 | Keyboard | DELAYED
[2026-05-14T12:10:49.233+0000] {subprocess.py:93} INFO - Consumed: Order 5797 | Monitor | IN_TRANSIT
[2026-05-14T12:10:49.233+0000] {subprocess.py:93} INFO - Consumed: Order 9819 | Camera | DELAYED
[2026-05-14T12:10:49.234+0000] {subprocess.py:93} INFO - Consumed: Order 4719 | Headphones | DELAYED
[2026-05-14T12:10:49.234+0000] {subprocess.py:93} INFO - Consumed: Order 6066 | Keyboard | DELAYED
[2026-05-14T12:10:49.234+0000] {subprocess.py:93} INFO - Consumed: Order 7090 | Phone | IN_TRANSIT
[2026-05-14T12:10:49.234+0000] {subprocess.py:93} INFO - Consumed: Order 3245 | Laptop | DELIVERED
[2026-05-14T12:10:49.234+0000] {subprocess.py:93} INFO - ✅ Written batch 8 → bronze/shipments/2026/05/14/batch_8_121049.json (10 events)
[2026-05-14T12:10:49.235+0000] {subprocess.py:93} INFO - Consumed: Order 2718 | Laptop | DELIVERED
[2026-05-14T12:10:49.235+0000] {subprocess.py:93} INFO - Consumed: Order 9199 | Monitor | OUT_FOR_DELIVERY
[2026-05-14T12:10:49.235+0000] {subprocess.py:93} INFO - Consumed: Order 5028 | Phone | SHIPPED
[2026-05-14T12:10:49.235+0000] {subprocess.py:93} INFO - Consumed: Order 3821 | Laptop | DELAYED
[2026-05-14T12:10:49.235+0000] {subprocess.py:93} INFO - Consumed: Order 7372 | Laptop | SHIPPED
[2026-05-14T12:10:49.235+0000] {subprocess.py:93} INFO - Consumed: Order 6053 | Camera | OUT_FOR_DELIVERY
[2026-05-14T12:10:49.235+0000] {subprocess.py:93} INFO - Consumed: Order 1645 | Phone | ORDER_PLACED
[2026-05-14T12:10:49.235+0000] {subprocess.py:93} INFO - Consumed: Order 1745 | Phone | DELAYED
[2026-05-14T12:10:49.236+0000] {subprocess.py:93} INFO - Consumed: Order 1275 | Headphones | ORDER_PLACED
[2026-05-14T12:10:49.236+0000] {subprocess.py:93} INFO - Consumed: Order 7635 | Phone | DELIVERED
[2026-05-14T12:10:49.236+0000] {subprocess.py:93} INFO - ✅ Written batch 9 → bronze/shipments/2026/05/14/batch_9_121049.json (10 events)
[2026-05-14T12:10:49.236+0000] {subprocess.py:93} INFO - Consumed: Order 6012 | Laptop | OUT_FOR_DELIVERY
[2026-05-14T12:10:49.236+0000] {subprocess.py:93} INFO - Consumed: Order 4579 | Laptop | IN_TRANSIT
[2026-05-14T12:10:49.237+0000] {subprocess.py:93} INFO - Consumed: Order 9913 | Keyboard | DELIVERED
[2026-05-14T12:10:49.237+0000] {subprocess.py:93} INFO - Consumed: Order 7040 | Tablet | PROCESSING
[2026-05-14T12:10:49.237+0000] {subprocess.py:93} INFO - Consumed: Order 6865 | Laptop | OUT_FOR_DELIVERY
[2026-05-14T12:10:49.237+0000] {subprocess.py:93} INFO - Consumed: Order 4715 | Tablet | ORDER_PLACED
[2026-05-14T12:10:49.237+0000] {subprocess.py:93} INFO - Consumed: Order 3606 | Laptop | SHIPPED
[2026-05-14T12:10:49.237+0000] {subprocess.py:93} INFO - Consumed: Order 9731 | Headphones | DELIVERED
[2026-05-14T12:10:49.237+0000] {subprocess.py:93} INFO - Consumed: Order 6233 | Headphones | DELIVERED
[2026-05-14T12:10:49.237+0000] {subprocess.py:93} INFO - Consumed: Order 4620 | Laptop | OUT_FOR_DELIVERY
[2026-05-14T12:10:49.238+0000] {subprocess.py:93} INFO - ✅ Written batch 10 → bronze/shipments/2026/05/14/batch_10_121049.json (10 events)
[2026-05-14T12:10:49.238+0000] {subprocess.py:93} INFO - Consumed: Order 8200 | Keyboard | SHIPPED
[2026-05-14T12:10:49.238+0000] {subprocess.py:93} INFO - Consumed: Order 6522 | Phone | SHIPPED
[2026-05-14T12:10:49.238+0000] {subprocess.py:93} INFO - Consumed: Order 1246 | Camera | SHIPPED
[2026-05-14T12:10:49.238+0000] {subprocess.py:93} INFO - Consumed: Order 2054 | Headphones | OUT_FOR_DELIVERY
[2026-05-14T12:10:49.238+0000] {subprocess.py:93} INFO - Consumed: Order 2699 | Camera | ORDER_PLACED
[2026-05-14T12:10:49.238+0000] {subprocess.py:93} INFO - Consumed: Order 1751 | Headphones | PROCESSING
[2026-05-14T12:10:49.239+0000] {subprocess.py:93} INFO - Consumed: Order 4628 | Headphones | SHIPPED
[2026-05-14T12:10:49.239+0000] {subprocess.py:93} INFO - Consumed: Order 8930 | Tablet | PROCESSING
[2026-05-14T12:10:49.239+0000] {subprocess.py:93} INFO - Consumed: Order 3098 | Keyboard | PROCESSING
[2026-05-14T12:10:49.239+0000] {subprocess.py:93} INFO - Consumed: Order 4333 | Monitor | SHIPPED
[2026-05-14T12:10:49.239+0000] {subprocess.py:93} INFO - ✅ Written batch 11 → bronze/shipments/2026/05/14/batch_11_121049.json (10 events)
[2026-05-14T12:10:49.239+0000] {subprocess.py:93} INFO - Consumed: Order 8881 | Phone | DELIVERED
[2026-05-14T12:10:49.239+0000] {subprocess.py:93} INFO - Consumed: Order 8336 | Phone | DELAYED
[2026-05-14T12:10:49.240+0000] {subprocess.py:93} INFO - Consumed: Order 5132 | Tablet | PROCESSING
[2026-05-14T12:10:49.240+0000] {subprocess.py:93} INFO - Consumed: Order 3936 | Laptop | IN_TRANSIT
[2026-05-14T12:10:49.240+0000] {subprocess.py:93} INFO - Consumed: Order 1726 | Keyboard | SHIPPED
