[2026-05-14T12:09:03.806+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: supply_chain_pipeline.kafka_producer manual__2026-05-14T12:09:02.776316+00:00 [queued]>
[2026-05-14T12:09:03.814+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: supply_chain_pipeline.kafka_producer manual__2026-05-14T12:09:02.776316+00:00 [queued]>
[2026-05-14T12:09:03.814+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 3
[2026-05-14T12:09:03.824+0000] {taskinstance.py:2191} INFO - Executing <Task(BashOperator): kafka_producer> on 2026-05-14 12:09:02.776316+00:00
[2026-05-14T12:09:03.828+0000] {standard_task_runner.py:60} INFO - Started process 253 to run task
[2026-05-14T12:09:03.831+0000] {standard_task_runner.py:87} INFO - Running: ['airflow', 'tasks', 'run', 'supply_chain_pipeline', 'kafka_producer', 'manual__2026-05-14T12:09:02.776316+00:00', '--job-id', '32', '--raw', '--subdir', 'DAGS_FOLDER/supply_chain_pipeline.py', '--cfg-path', '/tmp/tmpkn63xubk']
[2026-05-14T12:09:03.833+0000] {standard_task_runner.py:88} INFO - Job 32: Subtask kafka_producer
[2026-05-14T12:09:03.895+0000] {task_command.py:423} INFO - Running <TaskInstance: supply_chain_pipeline.kafka_producer manual__2026-05-14T12:09:02.776316+00:00 [running]> on host 25ee09023a37
[2026-05-14T12:09:03.963+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='lovepreet' AIRFLOW_CTX_DAG_ID='supply_chain_pipeline' AIRFLOW_CTX_TASK_ID='kafka_producer' AIRFLOW_CTX_EXECUTION_DATE='2026-05-14T12:09:02.776316+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-05-14T12:09:02.776316+00:00'
[2026-05-14T12:09:03.965+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2026-05-14T12:09:03.966+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'python3 /opt/airflow/ingestion/kafka_producer.py']
[2026-05-14T12:09:03.972+0000] {subprocess.py:86} INFO - Output:
[2026-05-14T12:10:44.547+0000] {subprocess.py:93} INFO - Starting shipment event producer...
[2026-05-14T12:10:44.552+0000] {subprocess.py:93} INFO - Sending to topic: shipment-events
[2026-05-14T12:10:44.553+0000] {subprocess.py:93} INFO - Broker: kafka:9092
[2026-05-14T12:10:44.553+0000] {subprocess.py:93} INFO - 
[2026-05-14T12:10:44.553+0000] {subprocess.py:93} INFO - [1/100] Sent: Order 8601 | Tablet | OUT_FOR_DELIVERY | FedEx → Pune
[2026-05-14T12:10:44.554+0000] {subprocess.py:93} INFO - [2/100] Sent: Order 1302 | Camera | IN_TRANSIT | DTDC → Ahmedabad
[2026-05-14T12:10:44.554+0000] {subprocess.py:93} INFO - [3/100] Sent: Order 9078 | Laptop | PROCESSING | FedEx → Kolkata
[2026-05-14T12:10:44.554+0000] {subprocess.py:93} INFO - [4/100] Sent: Order 1288 | Phone | ORDER_PLACED | Blue Dart → Jaipur
[2026-05-14T12:10:44.555+0000] {subprocess.py:93} INFO - [5/100] Sent: Order 5418 | Tablet | ORDER_PLACED | FedEx → Jaipur
[2026-05-14T12:10:44.555+0000] {subprocess.py:93} INFO - [6/100] Sent: Order 3090 | Headphones | DELIVERED | DTDC → Ahmedabad
[2026-05-14T12:10:44.555+0000] {subprocess.py:93} INFO - [7/100] Sent: Order 5811 | Headphones | ORDER_PLACED | Delhivery → Ahmedabad
[2026-05-14T12:10:44.556+0000] {subprocess.py:93} INFO - [8/100] Sent: Order 3142 | Monitor | DELIVERED | Blue Dart → Pune
[2026-05-14T12:10:44.556+0000] {subprocess.py:93} INFO - [9/100] Sent: Order 2091 | Tablet | DELAYED | FedEx → Kolkata
[2026-05-14T12:10:44.556+0000] {subprocess.py:93} INFO - [10/100] Sent: Order 4722 | Camera | OUT_FOR_DELIVERY | DHL → Lucknow
[2026-05-14T12:10:44.557+0000] {subprocess.py:93} INFO - [11/100] Sent: Order 6849 | Laptop | SHIPPED | DTDC → Jaipur
[2026-05-14T12:10:44.557+0000] {subprocess.py:93} INFO - [12/100] Sent: Order 5540 | Monitor | OUT_FOR_DELIVERY | DTDC → Ahmedabad
[2026-05-14T12:10:44.557+0000] {subprocess.py:93} INFO - [13/100] Sent: Order 9056 | Headphones | ORDER_PLACED | Delhivery → Pune
[2026-05-14T12:10:44.558+0000] {subprocess.py:93} INFO - [14/100] Sent: Order 4384 | Camera | IN_TRANSIT | Delhivery → Kolkata
[2026-05-14T12:10:44.558+0000] {subprocess.py:93} INFO - [15/100] Sent: Order 6672 | Monitor | IN_TRANSIT | FedEx → Ahmedabad
[2026-05-14T12:10:44.558+0000] {subprocess.py:93} INFO - [16/100] Sent: Order 9635 | Monitor | IN_TRANSIT | DHL → Jaipur
[2026-05-14T12:10:44.558+0000] {subprocess.py:93} INFO - [17/100] Sent: Order 3681 | Camera | PROCESSING | DHL → Lucknow
[2026-05-14T12:10:44.559+0000] {subprocess.py:93} INFO - [18/100] Sent: Order 1398 | Keyboard | SHIPPED | DHL → Jaipur
[2026-05-14T12:10:44.559+0000] {subprocess.py:93} INFO - [19/100] Sent: Order 1584 | Monitor | PROCESSING | FedEx → Ahmedabad
