[2026-05-14T12:21:49.885+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: supply_chain_pipeline.kafka_producer manual__2026-05-14T12:21:49.287689+00:00 [queued]>
[2026-05-14T12:21:49.894+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: supply_chain_pipeline.kafka_producer manual__2026-05-14T12:21:49.287689+00:00 [queued]>
[2026-05-14T12:21:49.894+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 3
[2026-05-14T12:21:49.907+0000] {taskinstance.py:2191} INFO - Executing <Task(BashOperator): kafka_producer> on 2026-05-14 12:21:49.287689+00:00
[2026-05-14T12:21:49.911+0000] {standard_task_runner.py:60} INFO - Started process 393 to run task
[2026-05-14T12:21:49.914+0000] {standard_task_runner.py:87} INFO - Running: ['airflow', 'tasks', 'run', 'supply_chain_pipeline', 'kafka_producer', 'manual__2026-05-14T12:21:49.287689+00:00', '--job-id', '34', '--raw', '--subdir', 'DAGS_FOLDER/supply_chain_pipeline.py', '--cfg-path', '/tmp/tmpnobk2pq_']
[2026-05-14T12:21:49.917+0000] {standard_task_runner.py:88} INFO - Job 34: Subtask kafka_producer
[2026-05-14T12:21:49.966+0000] {task_command.py:423} INFO - Running <TaskInstance: supply_chain_pipeline.kafka_producer manual__2026-05-14T12:21:49.287689+00:00 [running]> on host 25ee09023a37
[2026-05-14T12:21:50.033+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='lovepreet' AIRFLOW_CTX_DAG_ID='supply_chain_pipeline' AIRFLOW_CTX_TASK_ID='kafka_producer' AIRFLOW_CTX_EXECUTION_DATE='2026-05-14T12:21:49.287689+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-05-14T12:21:49.287689+00:00'
[2026-05-14T12:21:50.035+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2026-05-14T12:21:50.036+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'python3 /opt/airflow/ingestion/kafka_producer.py']
[2026-05-14T12:21:50.044+0000] {subprocess.py:86} INFO - Output:
[2026-05-14T12:23:30.631+0000] {subprocess.py:93} INFO - Starting shipment event producer...
[2026-05-14T12:23:30.635+0000] {subprocess.py:93} INFO - Sending to topic: shipment-events
[2026-05-14T12:23:30.635+0000] {subprocess.py:93} INFO - Broker: kafka:9092
[2026-05-14T12:23:30.635+0000] {subprocess.py:93} INFO - 
[2026-05-14T12:23:30.636+0000] {subprocess.py:93} INFO - [1/100] Sent: Order 2054 | Tablet | DELIVERED | DTDC → Lucknow
[2026-05-14T12:23:30.636+0000] {subprocess.py:93} INFO - [2/100] Sent: Order 1548 | Headphones | OUT_FOR_DELIVERY | DHL → Jaipur
[2026-05-14T12:23:30.636+0000] {subprocess.py:93} INFO - [3/100] Sent: Order 6656 | Tablet | DELAYED | Blue Dart → Ahmedabad
[2026-05-14T12:23:30.637+0000] {subprocess.py:93} INFO - [4/100] Sent: Order 2093 | Tablet | SHIPPED | DTDC → Kolkata
[2026-05-14T12:23:30.637+0000] {subprocess.py:93} INFO - [5/100] Sent: Order 3271 | Laptop | OUT_FOR_DELIVERY | Blue Dart → Ahmedabad
[2026-05-14T12:23:30.637+0000] {subprocess.py:93} INFO - [6/100] Sent: Order 7359 | Tablet | DELAYED | Blue Dart → Pune
[2026-05-14T12:23:30.637+0000] {subprocess.py:93} INFO - [7/100] Sent: Order 6313 | Camera | SHIPPED | DHL → Jaipur
[2026-05-14T12:23:30.638+0000] {subprocess.py:93} INFO - [8/100] Sent: Order 1219 | Monitor | PROCESSING | FedEx → Kolkata
[2026-05-14T12:23:30.638+0000] {subprocess.py:93} INFO - [9/100] Sent: Order 1382 | Headphones | IN_TRANSIT | Blue Dart → Kolkata
[2026-05-14T12:23:30.638+0000] {subprocess.py:93} INFO - [10/100] Sent: Order 9367 | Laptop | OUT_FOR_DELIVERY | Blue Dart → Ahmedabad
[2026-05-14T12:23:30.639+0000] {subprocess.py:93} INFO - [11/100] Sent: Order 8125 | Tablet | PROCESSING | Blue Dart → Kolkata
[2026-05-14T12:23:30.639+0000] {subprocess.py:93} INFO - [12/100] Sent: Order 8891 | Camera | SHIPPED | Blue Dart → Kolkata
[2026-05-14T12:23:30.639+0000] {subprocess.py:93} INFO - [13/100] Sent: Order 1840 | Camera | PROCESSING | DHL → Kolkata
[2026-05-14T12:23:30.639+0000] {subprocess.py:93} INFO - [14/100] Sent: Order 9047 | Monitor | IN_TRANSIT | DTDC → Pune
[2026-05-14T12:23:30.640+0000] {subprocess.py:93} INFO - [15/100] Sent: Order 7933 | Keyboard | IN_TRANSIT | DHL → Jaipur
[2026-05-14T12:23:30.640+0000] {subprocess.py:93} INFO - [16/100] Sent: Order 5445 | Keyboard | IN_TRANSIT | DTDC → Lucknow
[2026-05-14T12:23:30.640+0000] {subprocess.py:93} INFO - [17/100] Sent: Order 8089 | Headphones | ORDER_PLACED | Delhivery → Jaipur
[2026-05-14T12:23:30.640+0000] {subprocess.py:93} INFO - [18/100] Sent: Order 8260 | Tablet | DELIVERED | FedEx → Lucknow
[2026-05-14T12:23:30.641+0000] {subprocess.py:93} INFO - [19/100] Sent: Order 2602 | Keyboard | ORDER_PLACED | Blue Dart → Kolkata
[2026-05-14T12:23:30.641+0000] {subprocess.py:93} INFO - [20/100] Sent: Order 8145 | Tablet | PROCESSING | Delhivery → Ahmedabad
[2026-05-14T12:23:30.641+0000] {subprocess.py:93} INFO - [21/100] Sent: Order 1966 | Tablet | PROCESSING | DHL → Pune
[2026-05-14T12:23:30.641+0000] {subprocess.py:93} INFO - [22/100] Sent: Order 8989 | Monitor | ORDER_PLACED | FedEx → Ahmedabad
[2026-05-14T12:23:30.642+0000] {subprocess.py:93} INFO - [23/100] Sent: Order 8319 | Keyboard | IN_TRANSIT | DHL → Pune
[2026-05-14T12:23:30.642+0000] {subprocess.py:93} INFO - [24/100] Sent: Order 1596 | Headphones | SHIPPED | DTDC → Kolkata
