[2026-05-16T12:33:31.009+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: supply_chain_pipeline.kafka_producer manual__2026-05-16T12:33:30.431294+00:00 [queued]>
[2026-05-16T12:33:31.024+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: supply_chain_pipeline.kafka_producer manual__2026-05-16T12:33:30.431294+00:00 [queued]>
[2026-05-16T12:33:31.025+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 3
[2026-05-16T12:33:31.049+0000] {taskinstance.py:2191} INFO - Executing <Task(BashOperator): kafka_producer> on 2026-05-16 12:33:30.431294+00:00
[2026-05-16T12:33:31.059+0000] {standard_task_runner.py:60} INFO - Started process 203 to run task
[2026-05-16T12:33:31.068+0000] {standard_task_runner.py:87} INFO - Running: ['airflow', 'tasks', 'run', 'supply_chain_pipeline', 'kafka_producer', 'manual__2026-05-16T12:33:30.431294+00:00', '--job-id', '47', '--raw', '--subdir', 'DAGS_FOLDER/supply_chain_pipeline.py', '--cfg-path', '/tmp/tmplqxjz72s']
[2026-05-16T12:33:31.073+0000] {standard_task_runner.py:88} INFO - Job 47: Subtask kafka_producer
[2026-05-16T12:33:31.169+0000] {task_command.py:423} INFO - Running <TaskInstance: supply_chain_pipeline.kafka_producer manual__2026-05-16T12:33:30.431294+00:00 [running]> on host 77266b8302bc
[2026-05-16T12:33:31.302+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='lovepreet' AIRFLOW_CTX_DAG_ID='supply_chain_pipeline' AIRFLOW_CTX_TASK_ID='kafka_producer' AIRFLOW_CTX_EXECUTION_DATE='2026-05-16T12:33:30.431294+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-05-16T12:33:30.431294+00:00'
[2026-05-16T12:33:31.303+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2026-05-16T12:33:31.304+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'python3 /opt/airflow/ingestion/kafka_producer.py']
[2026-05-16T12:33:31.311+0000] {subprocess.py:86} INFO - Output:
[2026-05-16T12:35:12.928+0000] {subprocess.py:93} INFO - Starting shipment event producer...
[2026-05-16T12:35:12.931+0000] {subprocess.py:93} INFO - Sending to topic: shipment-events
[2026-05-16T12:35:12.932+0000] {subprocess.py:93} INFO - Broker: kafka:9092
[2026-05-16T12:35:12.932+0000] {subprocess.py:93} INFO - 
[2026-05-16T12:35:12.933+0000] {subprocess.py:93} INFO - [1/100] Sent: Order 1651 | Phone | IN_TRANSIT | DHL → Ahmedabad
[2026-05-16T12:35:12.933+0000] {subprocess.py:93} INFO - [2/100] Sent: Order 1456 | Monitor | PROCESSING | Delhivery → Pune
[2026-05-16T12:35:12.933+0000] {subprocess.py:93} INFO - [3/100] Sent: Order 7431 | Monitor | ORDER_PLACED | DHL → Jaipur
[2026-05-16T12:35:12.934+0000] {subprocess.py:93} INFO - [4/100] Sent: Order 6836 | Keyboard | PROCESSING | FedEx → Lucknow
[2026-05-16T12:35:12.934+0000] {subprocess.py:93} INFO - [5/100] Sent: Order 4143 | Keyboard | SHIPPED | FedEx → Lucknow
[2026-05-16T12:35:12.935+0000] {subprocess.py:93} INFO - [6/100] Sent: Order 8724 | Keyboard | ORDER_PLACED | DHL → Pune
[2026-05-16T12:35:12.935+0000] {subprocess.py:93} INFO - [7/100] Sent: Order 2287 | Headphones | ORDER_PLACED | Blue Dart → Pune
[2026-05-16T12:35:12.935+0000] {subprocess.py:93} INFO - [8/100] Sent: Order 6226 | Phone | ORDER_PLACED | Blue Dart → Ahmedabad
[2026-05-16T12:35:12.936+0000] {subprocess.py:93} INFO - [9/100] Sent: Order 9013 | Keyboard | IN_TRANSIT | DTDC → Ahmedabad
[2026-05-16T12:35:12.936+0000] {subprocess.py:93} INFO - [10/100] Sent: Order 3179 | Phone | PROCESSING | DTDC → Lucknow
[2026-05-16T12:35:12.936+0000] {subprocess.py:93} INFO - [11/100] Sent: Order 1047 | Tablet | SHIPPED | Blue Dart → Pune
[2026-05-16T12:35:12.937+0000] {subprocess.py:93} INFO - [12/100] Sent: Order 3176 | Keyboard | IN_TRANSIT | FedEx → Pune
[2026-05-16T12:35:12.937+0000] {subprocess.py:93} INFO - [13/100] Sent: Order 7499 | Headphones | DELAYED | Delhivery → Lucknow
[2026-05-16T12:35:12.937+0000] {subprocess.py:93} INFO - [14/100] Sent: Order 1893 | Keyboard | SHIPPED | Blue Dart → Jaipur
[2026-05-16T12:35:12.938+0000] {subprocess.py:93} INFO - [15/100] Sent: Order 9623 | Monitor | DELIVERED | DTDC → Pune
[2026-05-16T12:35:12.938+0000] {subprocess.py:93} INFO - [16/100] Sent: Order 4789 | Headphones | DELAYED | Delhivery → Kolkata
[2026-05-16T12:35:12.939+0000] {subprocess.py:93} INFO - [17/100] Sent: Order 5784 | Headphones | ORDER_PLACED | Blue Dart → Kolkata
[2026-05-16T12:35:12.939+0000] {subprocess.py:93} INFO - [18/100] Sent: Order 6394 | Camera | SHIPPED | FedEx → Pune
[2026-05-16T12:35:12.939+0000] {subprocess.py:93} INFO - [19/100] Sent: Order 2241 | Camera | PROCESSING | Delhivery → Jaipur
[2026-05-16T12:35:12.940+0000] {subprocess.py:93} INFO - [20/100] Sent: Order 3658 | Monitor | IN_TRANSIT | DTDC → Jaipur
[2026-05-16T12:35:12.940+0000] {subprocess.py:93} INFO - [21/100] Sent: Order 7319 | Headphones | ORDER_PLACED | FedEx → Pune
[2026-05-16T12:35:12.940+0000] {subprocess.py:93} INFO - [22/100] Sent: Order 9937 | Headphones | OUT_FOR_DELIVERY | Delhivery → Jaipur
[2026-05-16T12:35:12.940+0000] {subprocess.py:93} INFO - [23/100] Sent: Order 2159 | Keyboard | SHIPPED | DHL → Jaipur
[2026-05-16T12:35:12.941+0000] {subprocess.py:93} INFO - [24/100] Sent: Order 4072 | Headphones | PROCESSING | Delhivery → Kolkata
[2026-05-16T12:35:12.941+0000] {subprocess.py:93} INFO - [25/100] Sent: Order 1392 | Monitor | SHIPPED | DTDC → Kolkata
[2026-05-16T12:35:12.942+0000] {subprocess.py:93} INFO - [26/100] Sent: Order 7065 | Monitor | DELIVERED | FedEx → Kolkata
[2026-05-16T12:35:12.942+0000] {subprocess.py:93} INFO - [27/100] Sent: Order 2222 | Phone | OUT_FOR_DELIVERY | DHL → Kolkata
[2026-05-16T12:35:12.943+0000] {subprocess.py:93} INFO - [28/100] Sent: Order 1406 | Tablet | DELIVERED | DHL → Pune
