[2026-05-16T13:22:19.610+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: supply_chain_pipeline.kafka_producer manual__2026-05-16T13:22:18+00:00 [queued]>
[2026-05-16T13:22:19.616+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: supply_chain_pipeline.kafka_producer manual__2026-05-16T13:22:18+00:00 [queued]>
[2026-05-16T13:22:19.616+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 3
[2026-05-16T13:22:19.626+0000] {taskinstance.py:2191} INFO - Executing <Task(BashOperator): kafka_producer> on 2026-05-16 13:22:18+00:00
[2026-05-16T13:22:19.630+0000] {standard_task_runner.py:60} INFO - Started process 1811 to run task
[2026-05-16T13:22:19.633+0000] {standard_task_runner.py:87} INFO - Running: ['airflow', 'tasks', 'run', 'supply_chain_pipeline', 'kafka_producer', 'manual__2026-05-16T13:22:18+00:00', '--job-id', '53', '--raw', '--subdir', 'DAGS_FOLDER/supply_chain_pipeline.py', '--cfg-path', '/tmp/tmp27_wmfv1']
[2026-05-16T13:22:19.635+0000] {standard_task_runner.py:88} INFO - Job 53: Subtask kafka_producer
[2026-05-16T13:22:19.671+0000] {task_command.py:423} INFO - Running <TaskInstance: supply_chain_pipeline.kafka_producer manual__2026-05-16T13:22:18+00:00 [running]> on host 77266b8302bc
[2026-05-16T13:22:19.730+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='lovepreet' AIRFLOW_CTX_DAG_ID='supply_chain_pipeline' AIRFLOW_CTX_TASK_ID='kafka_producer' AIRFLOW_CTX_EXECUTION_DATE='2026-05-16T13:22:18+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-05-16T13:22:18+00:00'
[2026-05-16T13:22:19.731+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2026-05-16T13:22:19.732+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'python3 /opt/airflow/ingestion/kafka_producer.py']
[2026-05-16T13:22:19.738+0000] {subprocess.py:86} INFO - Output:
[2026-05-16T13:24:00.489+0000] {subprocess.py:93} INFO - Starting shipment event producer...
[2026-05-16T13:24:00.494+0000] {subprocess.py:93} INFO - Sending to topic: shipment-events
[2026-05-16T13:24:00.495+0000] {subprocess.py:93} INFO - Broker: kafka:9092
[2026-05-16T13:24:00.495+0000] {subprocess.py:93} INFO - 
[2026-05-16T13:24:00.496+0000] {subprocess.py:93} INFO - [1/100] Sent: Order 9044 | Phone | SHIPPED | FedEx → Ahmedabad
[2026-05-16T13:24:00.496+0000] {subprocess.py:93} INFO - [2/100] Sent: Order 8182 | Camera | IN_TRANSIT | DHL → Jaipur
[2026-05-16T13:24:00.497+0000] {subprocess.py:93} INFO - [3/100] Sent: Order 2990 | Camera | ORDER_PLACED | DTDC → Pune
[2026-05-16T13:24:00.497+0000] {subprocess.py:93} INFO - [4/100] Sent: Order 4789 | Monitor | DELAYED | Blue Dart → Kolkata
[2026-05-16T13:24:00.497+0000] {subprocess.py:93} INFO - [5/100] Sent: Order 9717 | Camera | IN_TRANSIT | Delhivery → Jaipur
[2026-05-16T13:24:00.498+0000] {subprocess.py:93} INFO - [6/100] Sent: Order 3755 | Tablet | IN_TRANSIT | FedEx → Kolkata
[2026-05-16T13:24:00.498+0000] {subprocess.py:93} INFO - [7/100] Sent: Order 6663 | Tablet | DELIVERED | Delhivery → Ahmedabad
[2026-05-16T13:24:00.498+0000] {subprocess.py:93} INFO - [8/100] Sent: Order 4004 | Phone | SHIPPED | FedEx → Jaipur
[2026-05-16T13:24:00.499+0000] {subprocess.py:93} INFO - [9/100] Sent: Order 4391 | Tablet | OUT_FOR_DELIVERY | Blue Dart → Ahmedabad
[2026-05-16T13:24:00.499+0000] {subprocess.py:93} INFO - [10/100] Sent: Order 2393 | Phone | ORDER_PLACED | Delhivery → Kolkata
[2026-05-16T13:24:00.499+0000] {subprocess.py:93} INFO - [11/100] Sent: Order 4997 | Tablet | SHIPPED | DTDC → Lucknow
[2026-05-16T13:24:00.500+0000] {subprocess.py:93} INFO - [12/100] Sent: Order 1626 | Keyboard | OUT_FOR_DELIVERY | DHL → Pune
[2026-05-16T13:24:00.500+0000] {subprocess.py:93} INFO - [13/100] Sent: Order 8359 | Tablet | DELIVERED | DHL → Lucknow
[2026-05-16T13:24:00.501+0000] {subprocess.py:93} INFO - [14/100] Sent: Order 3730 | Monitor | DELAYED | DTDC → Jaipur
[2026-05-16T13:24:00.501+0000] {subprocess.py:93} INFO - [15/100] Sent: Order 3215 | Monitor | IN_TRANSIT | Delhivery → Pune
[2026-05-16T13:24:00.502+0000] {subprocess.py:93} INFO - [16/100] Sent: Order 6646 | Tablet | SHIPPED | DTDC → Jaipur
[2026-05-16T13:24:00.503+0000] {subprocess.py:93} INFO - [17/100] Sent: Order 3841 | Monitor | IN_TRANSIT | FedEx → Ahmedabad
[2026-05-16T13:24:00.503+0000] {subprocess.py:93} INFO - [18/100] Sent: Order 3763 | Laptop | SHIPPED | DTDC → Ahmedabad
[2026-05-16T13:24:00.503+0000] {subprocess.py:93} INFO - [19/100] Sent: Order 1032 | Monitor | ORDER_PLACED | FedEx → Pune
