[2026-05-16T11:59:18.063+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: supply_chain_pipeline.kafka_producer scheduled__2026-05-15T09:00:00+00:00 [queued]>
[2026-05-16T11:59:18.068+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: supply_chain_pipeline.kafka_producer scheduled__2026-05-15T09:00:00+00:00 [queued]>
[2026-05-16T11:59:18.069+0000] {taskinstance.py:2170} INFO - Starting attempt 2 of 3
[2026-05-16T11:59:18.077+0000] {taskinstance.py:2191} INFO - Executing <Task(BashOperator): kafka_producer> on 2026-05-15 09:00:00+00:00
[2026-05-16T11:59:18.080+0000] {standard_task_runner.py:60} INFO - Started process 227 to run task
[2026-05-16T11:59:18.083+0000] {standard_task_runner.py:87} INFO - Running: ['airflow', 'tasks', 'run', 'supply_chain_pipeline', 'kafka_producer', 'scheduled__2026-05-15T09:00:00+00:00', '--job-id', '42', '--raw', '--subdir', 'DAGS_FOLDER/supply_chain_pipeline.py', '--cfg-path', '/tmp/tmpn0m84z7b']
[2026-05-16T11:59:18.084+0000] {standard_task_runner.py:88} INFO - Job 42: Subtask kafka_producer
[2026-05-16T11:59:18.119+0000] {task_command.py:423} INFO - Running <TaskInstance: supply_chain_pipeline.kafka_producer scheduled__2026-05-15T09:00:00+00:00 [running]> on host 989f4aa71ff5
[2026-05-16T11:59:18.175+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='lovepreet' AIRFLOW_CTX_DAG_ID='supply_chain_pipeline' AIRFLOW_CTX_TASK_ID='kafka_producer' AIRFLOW_CTX_EXECUTION_DATE='2026-05-15T09:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-05-15T09:00:00+00:00'
[2026-05-16T11:59:18.176+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2026-05-16T11:59:18.177+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'python3 /opt/airflow/ingestion/kafka_producer.py']
[2026-05-16T11:59:18.182+0000] {subprocess.py:86} INFO - Output:
[2026-05-16T12:00:59.947+0000] {subprocess.py:93} INFO - Starting shipment event producer...
[2026-05-16T12:00:59.954+0000] {subprocess.py:93} INFO - Sending to topic: shipment-events
[2026-05-16T12:00:59.955+0000] {subprocess.py:93} INFO - Broker: kafka:9092
[2026-05-16T12:00:59.955+0000] {subprocess.py:93} INFO - 
[2026-05-16T12:00:59.956+0000] {subprocess.py:93} INFO - [1/100] Sent: Order 1123 | Laptop | IN_TRANSIT | DHL → Pune
[2026-05-16T12:00:59.956+0000] {subprocess.py:93} INFO - [2/100] Sent: Order 2479 | Tablet | OUT_FOR_DELIVERY | FedEx → Kolkata
[2026-05-16T12:00:59.956+0000] {subprocess.py:93} INFO - [3/100] Sent: Order 4359 | Laptop | ORDER_PLACED | FedEx → Kolkata
[2026-05-16T12:00:59.957+0000] {subprocess.py:93} INFO - [4/100] Sent: Order 5073 | Laptop | IN_TRANSIT | DHL → Pune
[2026-05-16T12:00:59.957+0000] {subprocess.py:93} INFO - [5/100] Sent: Order 4281 | Tablet | ORDER_PLACED | Delhivery → Lucknow
[2026-05-16T12:00:59.958+0000] {subprocess.py:93} INFO - [6/100] Sent: Order 8940 | Monitor | DELAYED | DHL → Lucknow
[2026-05-16T12:00:59.958+0000] {subprocess.py:93} INFO - [7/100] Sent: Order 4430 | Camera | ORDER_PLACED | DTDC → Jaipur
[2026-05-16T12:00:59.959+0000] {subprocess.py:93} INFO - [8/100] Sent: Order 9575 | Phone | DELIVERED | FedEx → Ahmedabad
[2026-05-16T12:00:59.959+0000] {subprocess.py:93} INFO - [9/100] Sent: Order 2462 | Monitor | IN_TRANSIT | FedEx → Jaipur
[2026-05-16T12:00:59.960+0000] {subprocess.py:93} INFO - [10/100] Sent: Order 3231 | Tablet | DELIVERED | Delhivery → Kolkata
[2026-05-16T12:00:59.960+0000] {subprocess.py:93} INFO - [11/100] Sent: Order 1346 | Keyboard | SHIPPED | FedEx → Kolkata
[2026-05-16T12:00:59.960+0000] {subprocess.py:93} INFO - [12/100] Sent: Order 8674 | Laptop | DELAYED | Delhivery → Ahmedabad
[2026-05-16T12:00:59.961+0000] {subprocess.py:93} INFO - [13/100] Sent: Order 9855 | Camera | SHIPPED | DTDC → Pune
[2026-05-16T12:00:59.961+0000] {subprocess.py:93} INFO - [14/100] Sent: Order 1547 | Phone | IN_TRANSIT | DHL → Jaipur
[2026-05-16T12:00:59.961+0000] {subprocess.py:93} INFO - [15/100] Sent: Order 9788 | Tablet | DELAYED | DHL → Ahmedabad
[2026-05-16T12:00:59.962+0000] {subprocess.py:93} INFO - [16/100] Sent: Order 5621 | Camera | DELAYED | DTDC → Pune
[2026-05-16T12:00:59.962+0000] {subprocess.py:93} INFO - [17/100] Sent: Order 9627 | Tablet | SHIPPED | DTDC → Kolkata
[2026-05-16T12:00:59.963+0000] {subprocess.py:93} INFO - [18/100] Sent: Order 8335 | Phone | DELIVERED | DTDC → Jaipur
[2026-05-16T12:00:59.963+0000] {subprocess.py:93} INFO - [19/100] Sent: Order 4569 | Headphones | OUT_FOR_DELIVERY | DTDC → Kolkata
[2026-05-16T12:00:59.963+0000] {subprocess.py:93} INFO - [20/100] Sent: Order 7635 | Headphones | DELAYED | FedEx → Pune
[2026-05-16T12:00:59.964+0000] {subprocess.py:93} INFO - [21/100] Sent: Order 6343 | Tablet | OUT_FOR_DELIVERY | Blue Dart → Jaipur
[2026-05-16T12:00:59.964+0000] {subprocess.py:93} INFO - [22/100] Sent: Order 3546 | Keyboard | IN_TRANSIT | Delhivery → Pune
[2026-05-16T12:00:59.965+0000] {subprocess.py:93} INFO - [23/100] Sent: Order 3893 | Monitor | SHIPPED | Delhivery → Jaipur
[2026-05-16T12:00:59.965+0000] {subprocess.py:93} INFO - [24/100] Sent: Order 2135 | Monitor | IN_TRANSIT | DHL → Jaipur
[2026-05-16T12:00:59.965+0000] {subprocess.py:93} INFO - [25/100] Sent: Order 1152 | Headphones | IN_TRANSIT | FedEx → Ahmedabad
[2026-05-16T12:00:59.965+0000] {subprocess.py:93} INFO - [26/100] Sent: Order 1173 | Tablet | ORDER_PLACED | Delhivery → Jaipur
[2026-05-16T12:00:59.966+0000] {subprocess.py:93} INFO - [27/100] Sent: Order 6764 | Laptop | DELAYED | FedEx → Kolkata
[2026-05-16T12:00:59.966+0000] {subprocess.py:93} INFO - [28/100] Sent: Order 7203 | Tablet | PROCESSING | FedEx → Kolkata
[2026-05-16T12:00:59.966+0000] {subprocess.py:93} INFO - [29/100] Sent: Order 7078 | Camera | SHIPPED | DTDC → Kolkata
[2026-05-16T12:00:59.967+0000] {subprocess.py:93} INFO - [30/100] Sent: Order 7592 | Camera | OUT_FOR_DELIVERY | DTDC → Lucknow
[2026-05-16T12:00:59.967+0000] {subprocess.py:93} INFO - [31/100] Sent: Order 6089 | Phone | SHIPPED | DTDC → Lucknow
[2026-05-16T12:00:59.967+0000] {subprocess.py:93} INFO - [32/100] Sent: Order 4796 | Headphones | SHIPPED | DHL → Kolkata
[2026-05-16T12:00:59.967+0000] {subprocess.py:93} INFO - [33/100] Sent: Order 3875 | Phone | SHIPPED | DTDC → Kolkata
[2026-05-16T12:00:59.967+0000] {subprocess.py:93} INFO - [34/100] Sent: Order 1733 | Headphones | PROCESSING | Blue Dart → Pune
[2026-05-16T12:00:59.968+0000] {subprocess.py:93} INFO - [35/100] Sent: Order 3768 | Keyboard | PROCESSING | Blue Dart → Kolkata
[2026-05-16T12:00:59.968+0000] {subprocess.py:93} INFO - [36/100] Sent: Order 8247 | Tablet | OUT_FOR_DELIVERY | Delhivery → Jaipur
[2026-05-16T12:00:59.968+0000] {subprocess.py:93} INFO - [37/100] Sent: Order 8992 | Keyboard | SHIPPED | DHL → Pune
[2026-05-16T12:00:59.968+0000] {subprocess.py:93} INFO - [38/100] Sent: Order 2978 | Keyboard | DELIVERED | Blue Dart → Kolkata
[2026-05-16T12:00:59.968+0000] {subprocess.py:93} INFO - [39/100] Sent: Order 3303 | Camera | DELAYED | FedEx → Jaipur
[2026-05-16T12:00:59.969+0000] {subprocess.py:93} INFO - [40/100] Sent: Order 8986 | Keyboard | DELAYED | DTDC → Jaipur
[2026-05-16T12:00:59.969+0000] {subprocess.py:93} INFO - [41/100] Sent: Order 7399 | Headphones | IN_TRANSIT | DTDC → Jaipur
[2026-05-16T12:00:59.969+0000] {subprocess.py:93} INFO - [42/100] Sent: Order 2708 | Camera | PROCESSING | Delhivery → Kolkata
[2026-05-16T12:00:59.969+0000] {subprocess.py:93} INFO - [43/100] Sent: Order 9984 | Monitor | PROCESSING | Delhivery → Jaipur
[2026-05-16T12:00:59.969+0000] {subprocess.py:93} INFO - [44/100] Sent: Order 4829 | Laptop | OUT_FOR_DELIVERY | Delhivery → Jaipur
[2026-05-16T12:00:59.970+0000] {subprocess.py:93} INFO - [45/100] Sent: Order 1818 | Tablet | ORDER_PLACED | Delhivery → Ahmedabad
[2026-05-16T12:00:59.970+0000] {subprocess.py:93} INFO - [46/100] Sent: Order 3549 | Headphones | PROCESSING | Blue Dart → Lucknow
[2026-05-16T12:00:59.970+0000] {subprocess.py:93} INFO - [47/100] Sent: Order 7420 | Headphones | OUT_FOR_DELIVERY | FedEx → Lucknow
[2026-05-16T12:00:59.970+0000] {subprocess.py:93} INFO - [48/100] Sent: Order 5141 | Headphones | ORDER_PLACED | Blue Dart → Lucknow
