[2026-05-17T09:00:00.929+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: supply_chain_pipeline.kafka_producer scheduled__2026-05-16T09:00:00+00:00 [queued]>
[2026-05-17T09:00:00.936+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: supply_chain_pipeline.kafka_producer scheduled__2026-05-16T09:00:00+00:00 [queued]>
[2026-05-17T09:00:00.936+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 3
[2026-05-17T09:00:00.946+0000] {taskinstance.py:2191} INFO - Executing <Task(BashOperator): kafka_producer> on 2026-05-16 09:00:00+00:00
[2026-05-17T09:00:00.950+0000] {standard_task_runner.py:60} INFO - Started process 7961 to run task
[2026-05-17T09:00:00.954+0000] {standard_task_runner.py:87} INFO - Running: ['airflow', 'tasks', 'run', 'supply_chain_pipeline', 'kafka_producer', 'scheduled__2026-05-16T09:00:00+00:00', '--job-id', '59', '--raw', '--subdir', 'DAGS_FOLDER/supply_chain_pipeline.py', '--cfg-path', '/tmp/tmpdctx8eed']
[2026-05-17T09:00:00.957+0000] {standard_task_runner.py:88} INFO - Job 59: Subtask kafka_producer
[2026-05-17T09:00:01.015+0000] {task_command.py:423} INFO - Running <TaskInstance: supply_chain_pipeline.kafka_producer scheduled__2026-05-16T09:00:00+00:00 [running]> on host 77266b8302bc
[2026-05-17T09:00:01.111+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='lovepreet' AIRFLOW_CTX_DAG_ID='supply_chain_pipeline' AIRFLOW_CTX_TASK_ID='kafka_producer' AIRFLOW_CTX_EXECUTION_DATE='2026-05-16T09:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-05-16T09:00:00+00:00'
[2026-05-17T09:00:01.113+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2026-05-17T09:00:01.114+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'python3 /opt/airflow/ingestion/kafka_producer.py']
[2026-05-17T09:00:01.123+0000] {subprocess.py:86} INFO - Output:
[2026-05-17T09:01:42.353+0000] {subprocess.py:93} INFO - Starting shipment event producer...
[2026-05-17T09:01:42.356+0000] {subprocess.py:93} INFO - Sending to topic: shipment-events
[2026-05-17T09:01:42.357+0000] {subprocess.py:93} INFO - Broker: kafka:9092
[2026-05-17T09:01:42.357+0000] {subprocess.py:93} INFO - 
[2026-05-17T09:01:42.357+0000] {subprocess.py:93} INFO - [1/100] Sent: Order 6332 | Tablet | OUT_FOR_DELIVERY | FedEx → Kolkata
[2026-05-17T09:01:42.358+0000] {subprocess.py:93} INFO - [2/100] Sent: Order 3110 | Keyboard | DELAYED | DTDC → Kolkata
[2026-05-17T09:01:42.358+0000] {subprocess.py:93} INFO - [3/100] Sent: Order 3877 | Keyboard | DELIVERED | DHL → Jaipur
[2026-05-17T09:01:42.358+0000] {subprocess.py:93} INFO - [4/100] Sent: Order 4628 | Camera | DELIVERED | Delhivery → Kolkata
[2026-05-17T09:01:42.359+0000] {subprocess.py:93} INFO - [5/100] Sent: Order 4432 | Keyboard | ORDER_PLACED | DTDC → Lucknow
[2026-05-17T09:01:42.359+0000] {subprocess.py:93} INFO - [6/100] Sent: Order 6625 | Laptop | PROCESSING | DTDC → Jaipur
[2026-05-17T09:01:42.359+0000] {subprocess.py:93} INFO - [7/100] Sent: Order 8044 | Keyboard | IN_TRANSIT | DTDC → Kolkata
[2026-05-17T09:01:42.360+0000] {subprocess.py:93} INFO - [8/100] Sent: Order 1089 | Camera | IN_TRANSIT | FedEx → Kolkata
[2026-05-17T09:01:42.360+0000] {subprocess.py:93} INFO - [9/100] Sent: Order 1547 | Keyboard | DELIVERED | Blue Dart → Jaipur
[2026-05-17T09:01:42.360+0000] {subprocess.py:93} INFO - [10/100] Sent: Order 7967 | Headphones | SHIPPED | Blue Dart → Pune
[2026-05-17T09:01:42.361+0000] {subprocess.py:93} INFO - [11/100] Sent: Order 2071 | Phone | PROCESSING | FedEx → Pune
[2026-05-17T09:01:42.361+0000] {subprocess.py:93} INFO - [12/100] Sent: Order 2711 | Tablet | SHIPPED | Blue Dart → Kolkata
[2026-05-17T09:01:42.361+0000] {subprocess.py:93} INFO - [13/100] Sent: Order 5859 | Tablet | ORDER_PLACED | DHL → Lucknow
[2026-05-17T09:01:42.362+0000] {subprocess.py:93} INFO - [14/100] Sent: Order 2547 | Phone | ORDER_PLACED | Delhivery → Kolkata
[2026-05-17T09:01:42.362+0000] {subprocess.py:93} INFO - [15/100] Sent: Order 3674 | Camera | SHIPPED | DHL → Kolkata
[2026-05-17T09:01:42.362+0000] {subprocess.py:93} INFO - [16/100] Sent: Order 2858 | Monitor | DELIVERED | FedEx → Lucknow
[2026-05-17T09:01:42.363+0000] {subprocess.py:93} INFO - [17/100] Sent: Order 7472 | Phone | OUT_FOR_DELIVERY | Blue Dart → Pune
[2026-05-17T09:01:42.363+0000] {subprocess.py:93} INFO - [18/100] Sent: Order 1399 | Phone | PROCESSING | DHL → Kolkata
[2026-05-17T09:01:42.363+0000] {subprocess.py:93} INFO - [19/100] Sent: Order 5893 | Tablet | DELAYED | Blue Dart → Pune
